Opportunity Name,SFDC URL,Account Name,Stage (Raw),Stage Bucket,ACV / Amount ($),Close Date,Created Date,Last Activity Date,Owner,Employees,Employee Bucket,EHR (Raw),EHR (Normalized),Providers (Opp Field),# Related Opps (Account),Opportunity ID,Account ID
Rayner | Athelas,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000012djrgIAA/view,Rayner Eye Clinic  Surgery Center,IQM Set,Early / Mid Pipeline,72000.0,2026-04-30,2025-12-03,,Fredrick Long,,Unknown,Sightview,Other,,1,006Vo000012djrgIAA,001Vo00000Oe2LYIAZ
Roswell Park Care Network - RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000cxgTdIAI/view,Roswell Park Comprehensive Cancer Center,3. Scoping,Early / Mid Pipeline,250000.0,2026-07-31,2025-07-14,2025-12-05,Eric Valentin,5000,"1,001-5,000",OncoEMR;Other,Other,,1,006Vo00000cxgTdIAI,001Vo00000SJBqxIAH
Schneck Medical - Ambient / Call Center Agents,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000psqVmIAI/view,Schneck Medical Center,2. Needs Analysis,Early / Mid Pipeline,,2026-08-31,2025-10-01,2026-02-19,Jason Absten,1000,"301-1,000",MEDITECH,MEDITECH,,5,006Vo00000psqVmIAI,001Vo000008wtYqIAI
South County Call Center Agents,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000sOawAIAS/view,South County Hospital,2. Needs Analysis,Early / Mid Pipeline,,2026-12-31,2025-10-15,2025-06-03,Jean-Luc Neptune,5000,"1,001-5,000",MEDITECH,MEDITECH,,4,006Vo00000sOawAIAS,001Vo000008x5iNIAQ
Stanford Children's Agents,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000Rv9dRIAR/view,Stanford Children's Health,3. Scoping,Early / Mid Pipeline,300000.0,2026-04-30,2025-05-01,,Mick Majewski,5000,"1,001-5,000",Epic,Epic,,6,006Vo00000Rv9dRIAR,0015e00000CA0ohAAD
Summit BHC - Call Center Agent Pilot Conv.,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000qzmRdIAI/view,Summit BHC,4. Proposal/Price Quote,Early / Mid Pipeline,,2026-05-31,2025-10-08,,Kelum Fecht,1108,"1,001-5,000",Other,Other,,5,006Vo00000qzmRdIAI,0017V00001jBcTwQAK
The Idaho Clinic - RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000nX3e3IAC/view,The Idaho Clinic,IQM Set,Early / Mid Pipeline,72000.0,2026-04-30,2025-09-16,,Corey Pearson,13,0-300,--,Unknown,,1,006Vo00000nX3e3IAC,001Vo00000FKxXzIAL
UNLV - Ambient,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000019xnBuIAI/view,UNLV School of Medicine,2. Needs Analysis,Early / Mid Pipeline,,2026-05-31,2026-01-16,,Mick Majewski,,Unknown,Epic,Epic,,2,006Vo000019xnBuIAI,001Vo000008wwShIAI
UNLV | RCM & Scribe,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000pcSvbIAE/view,UNLV Health Physicians,IQM Set,Early / Mid Pipeline,72000.0,2025-12-31,2025-09-29,2026-01-23,Christopher Osorio,,Unknown,Epic Systems Corporation,Epic,,1,006Vo00000pcSvbIAE,0017V00001gAJQ4QAO
US Heart and Vascular,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000hB0SCIA0/view,US Heart and Vascular,Active Evaluation,Early / Mid Pipeline,72000.0,2026-08-27,2025-08-07,2025-10-13,Han Kang,26,0-300,ECW,eClinicalWorks,320.0,2,006Vo00000hB0SCIA0,0017V00002BrPumQAF
Valley Oaks Medical,https://athelas.lightning.force.com/lightning/r/Opportunity/0067V00002AspRNQAZ/view,Valley Oaks (FKA Cima Medical Centers LLC),Active Evaluation,Early / Mid Pipeline,500000.0,2024-01-31,2023-08-16,,Mick Majewski,71,0-300,Eclinicalworks,eClinicalWorks,,1,0067V00002AspRNQAZ,0017V00001cfz93QAA
certified Foot & ankle,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000PpkiVIAR/view,"Certified Foot & Ankle Specialists, LLC.",Active Evaluation,Early / Mid Pipeline,72000.0,2025-10-31,2025-04-14,,Heather Dombrosky,,Unknown,Healow,Other,,2,006Vo00000PpkiVIAR,001Vo00000HlKZPIA3
AR Childrens Referral Intake MGMT,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000qnfyfIAA/view,Arkansas Childrens Hospital System,6. Contract Red-Line Received,Negotiations,860625.0,2026-03-31,2025-10-07,2026-03-31,Kelum Fecht,5000,"1,001-5,000",Epic,Epic,,3,006Vo00000qnfyfIAA,001Vo000008wnPfIAI
BayMark | Commmure AI RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000qHNf3IAG/view,BayMark Health Services,7. Final Contract Execution,Negotiations,10800000.0,2026-04-30,2025-10-03,2026-03-02,Daniel Carter,,Unknown,Epic;Other,Epic,,3,006Vo00000qHNf3IAG,0017V00001Seh3TQAR
Commure Agent - Elevate Sports & Spine PT,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000M1gFdIAJ/view,Elevate Sports & Spine PT,Contract Negotiation,Negotiations,,2025-04-30,2025-03-10,2025-03-14,Nassim Arsalane,,Unknown,,Unknown,2.0,1,006Vo00000M1gFdIAJ,001Vo00000Sc2YXIAZ
MedVanta,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000KXxyfIAD/view,MedVanta,Contract Negotiation,Negotiations,5981592.9,2026-04-30,2025-02-21,2026-03-31,Bridget Yeager,123,0-300,"ModMed, TheraOffice",Modernizing Medicine,,1,006Vo00000KXxyfIAD,001Vo00000Oea39IAB
Michigan Neurology Associates PC,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000oqjIrIAI/view,Michigan Neurology Associates PC,Contract Negotiation,Negotiations,,2026-04-30,2025-09-24,2025-11-13,Paige Goodman,86,0-300,AdvancedMD,AdvancedMD,21.0,2,006Vo00000oqjIrIAI,0017V00001WfzENQAZ
Nathan Littauer Hospital - RCM - New Business,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000SMGNoIAP/view,Nathan Littauer Hospital,5. Negotiate/Contract Sent,Negotiations,3000000.0,2026-04-15,2025-05-05,2026-03-27,Eric Valentin,200,0-300,MEDITECH,MEDITECH,,4,006Vo00000SMGNoIAP,001Vo000008x9pDIAQ
UMCSN - Ambient/Referral Intake/Call Center Agents,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000ewgO4IAI/view,University Medical Center (UMC) of Southern Nevada,5. Negotiate/Contract Sent,Negotiations,416000.0,2026-06-30,2025-07-25,,Mick Majewski,5000,"1,001-5,000",,Unknown,,1,006Vo00000ewgO4IAI,001Vo000008ww7IIAQ
Dawn | Just Kids Pediatrics,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000KmRSaIAN/view,Just Kids Pediatrics,Closed Won - Live,Closed Won,895000.0,2025-07-29,2025-02-24,2025-08-05,Dawn Strelow,146,0-300,Greenway,Other,,1,006Vo00000KmRSaIAN,0017V00001mPiqMQAS
Dr. Farr,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001AskHPIAZ/view,Dr Morteza Farr DO Inc,Closed Won,Closed Won,96000.0,2026-01-31,2026-01-21,,Neeraj Baheti,5,0-300,Liquid Medical Office,Other,2.0,1,006Vo00001AskHPIAZ,0017V00001XTm3WQAT
GI Partners of Illinois,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000L6fdxIAB/view,GI Partners of Illinois LLC,Closed Won - Live,Closed Won,1012341.05,2025-03-24,2025-02-27,2025-03-24,Samantha Shapiro,224,0-300,ModMed,Modernizing Medicine,,1,006Vo00000L6fdxIAB,0017V00001Y7smNQAR
Medvanta - Call Center Agent (Convertible Pilot),https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000uVYGUIA4/view,The Centers for Advanced Orthopaedics,Contract Signed/Closed Won,Closed Won,75000.0,2025-07-10,2025-10-23,2025-07-29,Adam Graves,161,0-300,Phoenix Ortho;,Other,,6,006Vo00000uVYGUIA4,0017V00001WfzqqQAB
Nathan Littauer Hospital - Ambient AI - New Business,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000PtjB2IAJ/view,Nathan Littauer Hospital,8. Close Won,Closed Won,250000.0,2026-01-08,2025-04-15,2026-01-07,Eric Valentin,200,0-300,MEDITECH,MEDITECH,,4,006Vo00000PtjB2IAJ,001Vo000008x9pDIAQ
Nathan Littauer Hospital - Call Center Agents,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000u9inyIAA/view,Nathan Littauer Hospital,8. Close Won,Closed Won,575000.0,2025-12-08,2025-10-22,,Eric Valentin,200,0-300,MEDITECH,MEDITECH,,4,006Vo00000u9inyIAA,001Vo000008x9pDIAQ
Optimus_PX_ Agent_Pilot,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000YJZPwIAP/view,Optimus Health Care Inc,8. Close Won,Closed Won,,2025-08-01,2025-06-14,2025-07-23,Micah Ciancia,,Unknown,Epic Systems Corporation;,Epic,,7,006Vo00000YJZPwIAP,0017V00001XmyU7QAJ
RCM - Precision Podiatry,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000jb5GaIAI/view,Precision Podiatry PA,Closed Won,Closed Won,200474.76,2026-01-31,2025-08-22,2026-02-18,Thomas Debnam,10,0-300,NextGen Healthcare,Other,,4,006Vo00000jb5GaIAI,0017V00001dA5PgQAK
RCM: Santana Mental Health Services,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000DksXQIAZ/view,Santana Mental Health Services,Closed Won - Live,Closed Won,96000.0,2025-03-14,2024-12-02,2025-03-28,Ashley Coudron,,Unknown,EHR is PracticeQ,Other,,1,006Vo00000DksXQIAZ,001Vo00000KJ1zNIAT
SANO Orthopedics,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000I4WIOIA3/view,Sano Orthopedics (FKA Advanced Orthopedics and Sports Medicine),Closed Won - Live,Closed Won,552480.0,2025-10-08,2025-01-27,2025-08-11,Mollie Calderon,38,0-300,eClinicalWorks; V11 EHR,eClinicalWorks,,2,006Vo00000I4WIOIA3,001Vo000008x0EiIAI
Abella Heart Abellaheart,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000oqiY4IAI/view,Abella Heart Abellaheart,Closed Lost,Closed Lost / Nurture,72000.0,2025-12-15,2025-09-24,2025-10-02,Melissa Erlandson,,Unknown,eClinicalWorks,eClinicalWorks,,1,006Vo00000oqiY4IAI,001Vo00000ud94qIAA
Academic Alliance of Dermatology,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000YVRDIIA5/view,Academic Alliance of Dermatology,Closed Lost,Closed Lost / Nurture,72000.0,2025-11-07,2025-06-16,,Janann Turner,112,0-300,modmed,Modernizing Medicine,,1,006Vo00000YVRDIIA5,0017V000024Doe9QAC
