Opportunity Name,SFDC URL,Account Name,Stage (Raw),Stage Bucket,ACV / Amount ($),Close Date,Created Date,Last Activity Date,Owner,Employees,Employee Bucket,EHR (Raw),EHR (Normalized),Providers (Opp Field),# Related Opps (Account),Opportunity ID,Account ID
Commure Agent - The Patel Center for Functional Regeneration,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000ML3ftIAD/view,The Patel Center for Functional Regeneration,Closed Lost,Closed Lost / Nurture,,2025-05-19,2025-03-13,,Ernest Chan,,Unknown,,Unknown,2.0,1,006Vo00000ML3ftIAD,001Vo00000Sv6oYIAR
Commure Scribe - Spine and Wellness Centers of America,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000Q6KDBIA3/view,Spine and Wellness Centers of America,Closed Lost,Closed Lost / Nurture,26000.0,2025-05-07,2025-04-16,,Nassim Arsalane,140,0-300,,Unknown,15.0,1,006Vo00000Q6KDBIA3,001Vo000008woN3IAI
Deer Meadows Rehabilitation - Ambient,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000zyx3tIAA/view,Deer Meadows Rehabilitation and Nursing (FKA Choice Healthcare at Abingdon),Closed Lost,Closed Lost / Nurture,,2026-03-04,2025-11-18,,Ryan Laliberte,,Unknown,,Unknown,16.0,1,006Vo00000zyx3tIAA,001Vo00000SY2DwIAL
Desert Pain Specialists LLC,https://athelas.lightning.force.com/lightning/r/Opportunity/0067V000025aN7uQAE/view,Desert Pain Specialists LLC,Closed Lost,Closed Lost / Nurture,650000.0,2023-04-12,2022-11-18,2022-12-06,Daniel Stewart,38,0-300,AdvancedMD,AdvancedMD,,2,0067V000025aN7uQAE,0015e00000d7GezAAE
Digestive Healthcare of Georgia-RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000SNBCSIA5/view,Digestive Healthcare of Georgia,Closed Lost,Closed Lost / Nurture,1182500.0,2025-08-04,2025-05-05,2025-06-23,Amanda Jackson,279,0-300,Epic connect,Epic,,2,006Vo00000SNBCSIA5,0017V00002CyvgtQAB
Digestive Medicine Associates LLP,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000diEvLIAU/view,Digestive Medicine Associates LLP,Closed Lost,Closed Lost / Nurture,350000.0,2025-12-31,2025-07-17,2025-08-12,Bridget Yeager,47,0-300,Veradigm Inc,Other,,1,006Vo00000diEvLIAU,0017V00001Wfy19QAB
Doctor Today,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000GftsKIAR/view,Doctor Today TLC LLC,Closed Lost,Closed Lost / Nurture,72000.0,2025-10-31,2025-01-10,2025-10-10,Ashley Coudron,11,0-300,eClinicalWorks,eClinicalWorks,,4,006Vo00000GftsKIAR,0015e00000d7If3AAE
Dr. Kim Ventures,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000apO1yIAE/view,Dr. Kim Ventures,Closed Lost,Closed Lost / Nurture,48750.0,2025-08-11,2025-06-30,2025-07-14,Joseph Simmons,,Unknown,,Unknown,25.0,2,006Vo00000apO1yIAE,001Vo00000h9MQOIA2
Epic Care - Scribe/Intake,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000007LEwoIAG/view,Epic Care,9. Lost/Nurture,Closed Lost / Nurture,32400.0,2025-07-17,2024-07-19,2024-07-22,Mick Majewski,500,"301-1,000",Epic Systems Corporation; EpicCare Ambulatory,Epic,4.0,4,006Vo000007LEwoIAG,0017V00001YenW6QAJ
Epilepsy and Behavior Neurological Services LLC,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000011CxTFIA0/view,Epilepsy and Behavior Neurological Services LLC,Closed Lost,Closed Lost / Nurture,72000.0,2025-11-26,2025-11-25,,Hannah Chang,,Unknown,GE Healthcare,Other,,1,006Vo000011CxTFIA0,0015e00000d7JzhAAE
Family Health Centers of San Diego - Scribe,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000006GjBWIA0/view,Family Health Centers of San Diego,9. Lost/Nurture,Closed Lost / Nurture,100000.0,2025-12-31,2024-03-04,,Mick Majewski,5000,"1,001-5,000","eClinicalWorks; Eclinician, Greenway Health;",eClinicalWorks,,3,006Vo000006GjBWIA0,0015e00000CA1X8AAL
Gastroenterology Associates of New Jersey,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000sHADjIAO/view,Gastroenterology Associates of New Jersey,Closed Lost,Closed Lost / Nurture,1000000.0,2026-03-18,2025-10-14,2025-11-10,Samantha Shapiro,150,0-300,eClinicalWorks,eClinicalWorks,,5,006Vo00000sHADjIAO,0017V00001WfVDcQAN
HMS-Call Center,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000oYrrZIAS/view,HMS Group,9. Lost/Nurture,Closed Lost / Nurture,100000.0,2026-01-26,2025-09-23,,David Swanson,,Unknown,,Unknown,,2,006Vo00000oYrrZIAS,001Vo00001KsDu6IAF
Halton Call Center RFP,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000qH1oJIAS/view,Halton Healthcare,9. Lost/Nurture,Closed Lost / Nurture,300000.0,2025-10-30,2025-10-03,,David Swanson,,Unknown,MEDITECH,MEDITECH,,2,006Vo00000qH1oJIAS,001Vo00001KsBJGIA3
HaysMed Ambient-,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000qnfyeIAA/view,Hays Medical Center,9. Lost/Nurture,Closed Lost / Nurture,200000.0,2026-06-28,2025-10-07,2026-03-20,Kelum Fecht,500,"301-1,000",MEDITECH,MEDITECH,,3,006Vo00000qnfyeIAA,001Vo000008wrTLIAY
High 5 Health - RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000814JVIAY/view,High 5 Health,Closed Lost,Closed Lost / Nurture,7425000.0,2025-07-01,2024-07-31,2025-06-12,Corey Pearson,11,0-300,Henry Schein (4 different solutions),Other,,1,006Vo00000814JVIAY,001Vo00000BWnLtIAL
Hillcrest Health & Living,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001C8syLIAR/view,Hillcrest Health & Living,Closed Lost,Closed Lost / Nurture,72000.0,2026-03-31,2026-01-28,2026-02-17,Bridget Yeager,,Unknown,NA,Unknown,6.0,1,006Vo00001C8syLIAR,001Vo00001H0OBLIA3
Houston Methodist - ENT Agents,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000iVFUbIAO/view,Houston Methodist,9. Lost/Nurture,Closed Lost / Nurture,,2025-08-22,2025-08-16,2025-05-28,Dane Axelgard,29730,"5,000+",Epic,Epic,,13,006Vo00000iVFUbIAO,001Vo000008wtRFIAY
IThriveVeins,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000rGaAnIAK/view,iThriveVeins National City,Closed Lost,Closed Lost / Nurture,72000.0,2025-10-23,2025-10-09,,Anthony Dicarlo,,Unknown,Tebra,Other,,1,006Vo00000rGaAnIAK,001Vo00000rmeWAIAY
Lex Foot and Ankle,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000w9KKnIAM/view,Lexington Foot & Ankle Center PSC,Closed Lost,Closed Lost / Nurture,120000.0,2025-12-30,2025-10-29,,Jon Smorol,,Unknown,TBD,Unknown,,1,006Vo00000w9KKnIAM,0017V00001dA4p4QAC
Marathon Health_PX_Agents_Pilot,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000iVFUkIAO/view,"Marathon Health, Inc.",9. Lost/Nurture,Closed Lost / Nurture,1000000.0,2025-12-03,2025-08-16,2025-10-19,Micah Ciancia,320,"301-1,000",athenahealth - athenaOne,Athena,,3,006Vo00000iVFUkIAO,0017V00001ceqxnQAA
Marcus Neuroscience Institute - Baptist Health | Athelas,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000eqn0vIAA/view,Baptist Health South Florida,Closed Lost,Closed Lost / Nurture,72000.0,2025-08-12,2025-07-24,2025-08-05,Alex Fogt,10000,"5,000+",Athena,Athena,,7,006Vo00000eqn0vIAA,001Vo000008wtisIAA
Marin City Health and Wellness Center,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000mqIurIAE/view,Marin City Health and Wellness Center,Closed Lost,Closed Lost / Nurture,72000.0,2025-10-31,2025-09-11,,Neeraj Baheti,90,0-300,ECW,eClinicalWorks,,1,006Vo00000mqIurIAE,001Vo00000OdK8QIAV
MaxHealth Primary Care,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000IVwLVIA1/view,MaxHealth Primary Care,Closed Lost,Closed Lost / Nurture,72000.0,2025-05-30,2025-01-31,2025-04-14,Ashley Coudron,,Unknown,unknown,Unknown,,1,006Vo00000IVwLVIA1,001Vo00000KxoDOIAZ
MedAssist,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000006GjeFIAS/view,Firstsource,9. Lost/Nurture,Closed Lost / Nurture,,2024-01-17,2024-01-09,,Alec Epstein,,Unknown,,Unknown,,1,006Vo000006GjeFIAS,001Vo000008x0zHIAQ
Minnesota Women's care,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000PxBKWIA3/view,Minnesota Womens Care PA,Closed Lost,Closed Lost / Nurture,850000.0,2025-10-31,2025-04-15,,Melissa Erlandson,,Unknown,eClinicalWorks; V11 EHR,eClinicalWorks,,2,006Vo00000PxBKWIA3,0017V00001Y7sdWQAR
Mirvie - PX - XSell - RPM - Prenatal Hypertension Clinical Evidence Program,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000iVFUeIAO/view,Mirvie Inc.,9. Lost/Nurture,Closed Lost / Nurture,195000.0,2026-03-31,2025-08-16,2026-02-12,Shawna Haner,,Unknown,,Unknown,,5,006Vo00000iVFUeIAO,001Vo00001KrhBNIAZ
Nair Internal Medicine,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000ppNeqIAE/view,Nair Internal Medicine,Closed Lost,Closed Lost / Nurture,256081.6,2026-01-21,2025-09-30,2026-01-13,Brad Kuh,11,0-300,Practice Suite,Other,,2,006Vo00000ppNeqIAE,0015e00000d7JC5AAM
Nassau,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000Ol36LIAR/view,Nassau,Closed Lost,Closed Lost / Nurture,150000.0,2025-07-14,2025-04-04,2025-06-11,Ramneek Kakar,5,0-300,Medeo,Other,,1,006Vo00000Ol36LIAR,001Vo00000VIZTkIAP
NeuroSpine Institute | Scribe,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000001umMMIAY/view,NSICA,Closed Lost,Closed Lost / Nurture,12000.0,2024-04-01,2024-02-05,,Jordan Tunnell,16,0-300,eCW,eClinicalWorks,15.0,1,006Vo000001umMMIAY,001Vo0000023fNKIAY
Nuvance Agents & Denials Co-Pilot,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000N19TtIAJ/view,Nuvance Health,9. Lost/Nurture,Closed Lost / Nurture,100000.0,2025-11-10,2025-03-20,2025-03-21,Amy Sullivan,1000,"301-1,000",,Unknown,,7,006Vo00000N19TtIAJ,001Vo000008x1CTIAY
Oakview Dermatology Scribe/Agents,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000Kld90IAB/view,Oakview Dermatology,Closed Lost,Closed Lost / Nurture,81250.0,2025-06-03,2025-02-24,,Thomas Childers,,Unknown,ModMed,Modernizing Medicine,25.0,3,006Vo00000Kld90IAB,0017V00001dA4FqQAK
Ocean Heart Group LLC,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000qPARIIA4/view,Ocean Heart Group LLC,Closed Lost,Closed Lost / Nurture,100000.0,2025-12-16,2025-10-03,,Hannah Chang,15,0-300,eMDs; CGM Practice Partner,Other,,5,006Vo00000qPARIIA4,0015e00000SxT3SAAV
Ortho South,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000003HQKXIA4/view,OrthoSouth (FKA OrthoMemphis),Closed Lost,Closed Lost / Nurture,1980000.0,2024-07-03,2024-03-14,2024-04-01,Dylan Favila,304,"301-1,000",MediCopy,Other,,5,006Vo000003HQKXIA4,001Vo000008wttoIAA
OrthoCincy Orthopaedics & Sports Medicine (FKA Commonwealth Orthopaedic Centers),https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000018HQSZIA4/view,OrthoCincy Orthopaedics & Sports Medicine (FKA Commonwealth Orthopaedic Centers),Closed Lost,Closed Lost / Nurture,72000.0,2026-03-11,2026-01-07,,Alex Fogt,,Unknown,Epic Systems Corporation;,Epic,53.0,3,006Vo000018HQSZIA4,0017V00001Y7spvQAB
Orthopaedic Medical Group of Tampa Bay,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000I4HwGIAV/view,Orthopaedic Medical Group of Tampa Bay,Closed Lost,Closed Lost / Nurture,72000.0,2025-03-31,2025-01-27,2025-02-05,Ashley Coudron,87,0-300,Epic Systems Corporation,Epic,,6,006Vo00000I4HwGIAV,001Vo00000EPLnZIAX
Ottawa Family Physicians,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000tiy7GIAQ/view,Ottawa Family Physicians Chartered,Closed Lost,Closed Lost / Nurture,400000.0,2026-02-28,2025-10-20,2026-02-11,Mollie Calderon,,Unknown,Azalea Health,Other,,2,006Vo00000tiy7GIAQ,0015e00000d7JIlAAM
Pain Specialists of America,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000ChI9GIAV/view,Pain Specialists of America,Closed Lost,Closed Lost / Nurture,1920952.68,2026-03-11,2024-11-08,2026-02-10,Bridget Yeager,317,"301-1,000",ECW,eClinicalWorks,,4,006Vo00000ChI9GIAV,0017V00001ekHwxQAE
Partnership - Midwest IT Support LLC - Bashar Bouso,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000QoLQaIAN/view,Midwest IT Support LLC - Bashar Bouso,Closed Lost,Closed Lost / Nurture,,2025-10-31,2025-04-22,,Ramesh Munnangi,,Unknown,n/a,Unknown,,1,006Vo00000QoLQaIAN,001Vo00000XKJzbIAH
Praventa Health,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo0000195LB1IAM/view,Praventa Health,Closed Lost,Closed Lost / Nurture,,2026-02-16,2026-01-12,2026-01-12,Brad Kuh,,Unknown,Praventa Health,Other,,2,006Vo0000195LB1IAM,001Vo00001E7M9iIAF
Presbyterian Healthcare Services - Scribe,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000006TWkDIAW/view,Presbyterian Healthcare Services,9. Lost/Nurture,Closed Lost / Nurture,24000.0,2025-02-01,2024-06-23,2024-09-11,Mick Majewski,,Unknown,,Unknown,,9,006Vo000006TWkDIAW,001Vo000008wwQRIAY
Pueblo Medical Imaging - RCM + Scribe + Air + Coding,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000NSb5wIAD/view,Pueblo Medical Imaging,Closed Lost,Closed Lost / Nurture,826073.33,2025-07-31,2025-03-24,2025-04-11,Ramesh Munnangi,,Unknown,MedInformatix,Other,,2,006Vo00000NSb5wIAD,0017V00001kLTtvQAG
Pullman Regional - VersaBadge Scribe,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000B1nd6IAB/view,Pullman Regional Hospital,9. Lost/Nurture,Closed Lost / Nurture,100000.0,2025-07-29,2024-10-04,,Mick Majewski,500,"301-1,000",,Unknown,,2,006Vo00000B1nd6IAB,001Vo000008wwFBIAY
RCM - Breast Care Specialists,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000TUcIUIA1/view,Breast Care Specialists (GA),Closed Lost,Closed Lost / Nurture,524712.95,2026-02-18,2025-05-13,2025-12-29,Ashley Coudron,,Unknown,AllScripts,Other,,1,006Vo00000TUcIUIA1,001Vo00000aHH9OIAW
RCM - Las Vegas Urology LLP,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000kQsWvIAK/view,Las Vegas Urology LLP,Closed Lost,Closed Lost / Nurture,535500.0,2026-03-16,2025-08-27,2025-12-30,Rika Jitosho,11,0-300,Epic Systems Corporation; EpicCare Ambulatory,Epic,36.0,3,006Vo00000kQsWvIAK,0017V00001Wfz2gQAB
RCM - Podiatry 1st,https://athelas.lightning.force.com/lightning/r/Opportunity/0067V000028vH2eQAE/view,James Anderson PM LLC (AKA Podiatry 1st),Closed Lost,Closed Lost / Nurture,75000.0,2023-08-10,2023-06-14,2023-07-11,Christopher Schaub,8,0-300,eClinicalWorks,eClinicalWorks,,5,0067V000028vH2eQAE,0017V00001hfhGVQAY
RCM - South Valley Physical Therapy,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000QI2ndIAD/view,South Valley Physical Therapy,Closed Lost,Closed Lost / Nurture,29473.18,2025-10-31,2025-04-17,2025-05-08,Neeraj Baheti,13,0-300,Practice Perfect,Other,,1,006Vo00000QI2ndIAD,0017V00001cfymNQAQ
RCM - Texas Neurology Consultants LLP,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000wyJb5IAE/view,Texas Neurology Consultants LLP,Closed Lost,Closed Lost / Nurture,100000.0,2026-01-29,2025-11-03,2025-11-12,Danny Price,12,0-300,eClinicalWorks,eClinicalWorks,,2,006Vo00000wyJb5IAE,0015e00000d7GxUAAU
RCM: Urology Group of Southern California,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000GOXmRIAX/view,Urology Group of Southern California (AKA John J Kowalczyk Do Inc),Closed Lost,Closed Lost / Nurture,138476.76,2025-01-31,2025-01-07,,Rika Jitosho,,Unknown,ModMed,Modernizing Medicine,,3,006Vo00000GOXmRIAX,0015e00000d7KjtAAE
SEPA Pain Management Ltd,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000BnCuXIAV/view,SEPA Pain Management Ltd,Closed Lost,Closed Lost / Nurture,200000.0,2025-01-31,2024-10-21,,Sue Fioravanti,28,0-300,eClinicalWorks,eClinicalWorks,,2,006Vo00000BnCuXIAV,0015e00000d7F1EAAU
Sagis Diagnostics,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000QEFt5IAH/view,Sagis Diagnostics,Closed Lost,Closed Lost / Nurture,72000.0,2025-05-23,2025-04-17,2025-04-23,Zachary Mitchell,,Unknown,TBD,Unknown,,1,006Vo00000QEFt5IAH,001Vo00000WkaPUIAZ
Serenity Mental Health Centers,https://athelas.lightning.force.com/lightning/r/Opportunity/0067V000025UW95QAG/view,Serenity Mental Health Centers,Closed Lost,Closed Lost / Nurture,660000.0,2023-03-16,2022-11-11,,Jordan Hobley,,Unknown,,Unknown,,1,0067V000025UW95QAG,0017V00001mNWrmQAG
Signify Health - Portal/Med Rec/NW,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000006GjNHIA0/view,Signify Health,9. Lost/Nurture,Closed Lost / Nurture,410000.0,2020-12-31,2020-10-05,,Alec Epstein,,Unknown,,Unknown,,1,006Vo000006GjNHIA0,001Vo000008x1Z9IAI
Southern Bone and Joint Specialists,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000jPTXzIAO/view,Southern Bone And Joint Specialists,Closed Lost,Closed Lost / Nurture,1065800.22,2026-02-13,2025-08-21,,Katie Lynch,,Unknown,athena,Athena,,1,006Vo00000jPTXzIAO,001Vo00000FEh5SIAT
Suite - PrimeCareHealth,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000dsCc2IAE/view,PrimeCareHealth,Closed Lost,Closed Lost / Nurture,500000.0,2025-12-31,2025-07-18,2025-09-09,Samantha Shapiro,11,0-300,Athena,Athena,,1,006Vo00000dsCc2IAE,001Vo00000CJmfYIAT
Temple - PXP,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001E5lCJIAZ/view,Temple University Health System (AKA Temple Health),9. Lost/Nurture,Closed Lost / Nurture,,2026-12-31,2026-02-07,2026-03-05,Eric Valentin,7860,"5,000+",Epic,Epic,,4,006Vo00001E5lCJIAZ,001Vo000008wr5UIAQ
Tenet Call Center,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000ZHMhdIAH/view,Tenet Healthcare,9. Lost/Nurture,Closed Lost / Nurture,250000.0,2026-01-26,2025-06-20,,David Swanson,10000,"5,000+",,Unknown,,10,006Vo00000ZHMhdIAH,001Vo000008wr4TIAQ
The EpiCentre RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000KR8m4IAD/view,The EpiCentre,Closed Lost,Closed Lost / Nurture,108759.1,2025-04-30,2025-02-20,2025-02-27,Nate Hill,7,0-300,eClinicalWorks,eClinicalWorks,,4,006Vo00000KR8m4IAD,001Vo000002dcQSIAY
The Los Angeles Headache Center,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000W42jxIAB/view,The Los Angeles Headache Center,Closed Lost,Closed Lost / Nurture,72000.0,2025-12-29,2025-05-30,,Ariana Gonzalez,,Unknown,AdvancedMD,AdvancedMD,,1,006Vo00000W42jxIAB,001Vo00000OedWVIAZ
Third Way Health - Referral Partnership,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000DGMulIAH/view,Third Way Health,Closed Lost,Closed Lost / Nurture,,2025-04-30,2024-11-19,2024-12-03,Ramesh Munnangi,,Unknown,N/A,Unknown,,1,006Vo00000DGMulIAH,001Vo00000JQE2nIAH
Truffles Vein Specialists,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000otRsPIAU/view,Truffles Vein Specialists,Closed Lost,Closed Lost / Nurture,215000.0,2025-11-28,2025-09-24,,Janann Turner,,Unknown,ECW,eClinicalWorks,,1,006Vo00000otRsPIAU,0015e00000d7GwaAAE
Women's Excellence - RCM + Scribe + Air,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000Dxdx8IAB/view,Women's Excellence (AKA Women's Healthcare Associates),Closed Lost,Closed Lost / Nurture,275000.0,2025-10-31,2024-12-05,,Ramesh Munnangi,26,0-300,athenahealth; athenaClinicals,Athena,,2,006Vo00000Dxdx8IAB,0017V00001WfxWfQAJ
